[description:"convert DealsBoardFiltered to typescript" end:"1580499719" entry:"1580236981" modified:"1580499719" priority:"M" project:"ts-conversion" status:"completed" tags:"xMentium" uuid:"73b0dce5-eafd-4a09-867a-cd76f3635a91"]
[description:"convert DealSettingsDialog to typescript" end:"1580437830" entry:"1580236981" modified:"1580437830" priority:"M" project:"ts-conversion" status:"completed" tags:"xMentium" uuid:"4962d174-9878-4f3c-9f41-1a9b9d0b02f6"]
[description:"convert DealsBoardColumn to typescript" end:"1580410652" entry:"1580236981" modified:"1580410652" priority:"M" project:"ts-conversion" status:"completed" tags:"xMentium" uuid:"0c9eb19a-a507-40da-88bf-ba01cdcca10e"]
[description:"convert DealsBoard to typescript" end:"1580376612" entry:"1580236981" modified:"1580376612" priority:"M" project:"ts-conversion" status:"completed" tags:"xMentium" uuid:"da4accc9-9524-4cce-aed0-8ac6ed8017e8"]
[description:"convert DealsActions.jsx to typescript" end:"1580368835" entry:"1580236981" modified:"1580368835" priority:"M" project:"ts-conversion" status:"completed" tags:"xMentium" uuid:"9834ca6e-9a77-44c7-9b6f-ea04a9fcba8c"]
[description:"convert DealsStore to typescript" end:"1580242219" entry:"1580236981" modified:"1580242219" priority:"M" project:"ts-conversion" status:"completed" tags:"xMentium" uuid:"ae97d0ee-3dfb-4383-8c88-30780af0a14c"]
[description:"automatically close the modal after save" end:"1580237001" entry:"1579846466" modified:"1580237001" priority:"M" status:"completed" tags:"xMentium" uuid:"86d4b93a-02d1-4731-a9f7-4a96e6c55d91"]
[description:"when theres a change, youll have to rerender manually" end:"1580237001" entry:"1579846507" modified:"1580237001" priority:"M" status:"completed" tags:"xMentium" uuid:"ac780b93-a2e3-4949-81b2-8d67c0144bfa"]
[description:"n" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"72e7fdfb-d25f-4e73-b4ef-dbe755ba77b7"]
[description:"e" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"26cebc47-2c56-4b4e-9fa8-faf15ac68084"]
[description:"s" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"3210a333-f78a-46cf-b299-2166197b5a12"]
[description:"t" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"5589fcc2-f270-41b8-8d23-31cfab71122d"]
[description:"." end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"41492224-05b6-4dc5-aee5-0569f0192bf1"]
[description:"c" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"bf8b10f9-4d03-438c-8830-f098c1e4a4fe"]
[description:"s" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"eb08e871-9571-45aa-bd87-6f54ada9b7c3"]
[description:"j" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"3a8cbbc3-dea5-450f-b5cb-d532bf201706"]
[description:"s" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"550fa51c-cf9e-474b-9410-fe78c96f3f1d"]
[description:"n" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"f5f013cd-18ff-44ce-801f-8bc59c32aadd"]
